obs,sim,site,species,var,dataset
22.32326276,24.82120952,20,spruce,V,Old0
13.74341969,9.176095278,20,spruce,V,Old0
0.196029536,0.171186563,20,spruce,V,Old0
2.490219728,8.167095072,20,spruce,V,Old0
7.233184822,12.95722981,20,spruce,V,Old0
12.1511216,39.30547611,20,spruce,V,Old0
87.21771303,145.8207101,20,spruce,V,Old0
41.31809537,45.75304102,20,spruce,V,Old0
92.38966715,86.0479366,20,spruce,V,Old0
28.06135355,30.3676738,20,spruce,V,Old0
15.81103762,11.12755935,20,spruce,V,Old0
1.391492258,1.471900869,21,spruce,V,Old0
20.643345,25.63363318,21,spruce,V,Old0
54.67474582,66.10834362,21,spruce,V,Old0
100.0741709,114.6133509,21,spruce,V,Old0
56.07073291,55.15139697,21,spruce,V,Old0
103.5838156,87.63073677,21,spruce,V,Old0
15.49943455,10.36879316,21,spruce,V,Old0
1.183417653,1.455046868,21,spruce,V,Old0
15.73090851,26.479487,21,spruce,V,Old0
52.72369207,76.42604095,21,spruce,V,Old0
104.7303856,136.5877707,21,spruce,V,Old0
61.71605262,64.36441406,21,spruce,V,Old0
117.8615157,99.50918952,21,spruce,V,Old0
16.02768601,11.45670096,21,spruce,V,Old0
0.894081197,1.358116787,21,spruce,V,Old0
13.68974859,24.00675371,21,spruce,V,Old0
47.05015914,79.83098254,21,spruce,V,Old0
91.14194397,149.2108947,21,spruce,V,Old0
53.2076648,69.03038211,21,spruce,V,Old0
161.9531224,103.91345,21,spruce,V,Old0
17.69869767,11.6455173,21,spruce,V,Old0
1.860318639,2.262774785,22,spruce,V,Old0
8.760992565,13.21637294,22,spruce,V,Old0
24.83958146,34.54183129,22,spruce,V,Old0
63.24465298,74.41829771,22,spruce,V,Old0
73.651472,74.36033927,22,spruce,V,Old0
124.9742482,109.00273,22,spruce,V,Old0
66.97064836,50.06108173,22,spruce,V,Old0
70.09382573,47.54090932,22,spruce,V,Old0
19.31445078,11.69569953,22,spruce,V,Old0
3.391389336,2.865779819,22,spruce,V,Old0
10.6379418,11.0170704,22,spruce,V,Old0
11.32424372,37.54927846,22,spruce,V,Old0
43.99573663,90.03128014,22,spruce,V,Old0
30.56180462,88.75397691,22,spruce,V,Old0
70.73280106,124.9840527,22,spruce,V,Old0
15.29517543,54.51084415,22,spruce,V,Old0
66.48554506,49.91139555,22,spruce,V,Old0
2.376196017,2.313595226,23,spruce,V,Old0
38.00120794,36.60498239,23,spruce,V,Old0
118.9690873,95.10136721,23,spruce,V,Old0
94.89464311,65.21457912,23,spruce,V,Old0
99.04640279,64.37631256,23,spruce,V,Old0
105.5845193,57.49480538,23,spruce,V,Old0
42.16478723,22.85841252,23,spruce,V,Old0
33.38053757,14.58306487,23,spruce,V,Old0
1.897401232,2.353471549,23,spruce,V,Old0
33.24496868,36.97103001,23,spruce,V,Old0
133.2295955,100.9200932,23,spruce,V,Old0
104.8591312,67.86626133,23,spruce,V,Old0
92.8458328,65.91562451,23,spruce,V,Old0
112.2738378,57.73021275,23,spruce,V,Old0
46.55747389,22.63696817,23,spruce,V,Old0
36.63801403,14.12493656,23,spruce,V,Old0
2.414402492,2.559508818,23,spruce,V,Old0
11.56744857,10.40244885,23,spruce,V,Old0
17.00540585,37.24034908,23,spruce,V,Old0
49.22080718,65.81524612,23,spruce,V,Old0
92.47375564,108.4668343,23,spruce,V,Old0
41.2063651,71.32521822,23,spruce,V,Old0
65.34341268,68.11733964,23,spruce,V,Old0
64.05182114,58.52800256,23,spruce,V,Old0
35.93746308,22.5792234,23,spruce,V,Old0
40.03910353,13.8057774,23,spruce,V,Old0
1.008380218,2.576307643,24,spruce,V,Old0
26.34203767,29.53435493,24,spruce,V,Old0
87.62106802,83.83513357,24,spruce,V,Old0
69.72700809,57.60092402,24,spruce,V,Old0
75.32849778,54.63495715,24,spruce,V,Old0
91.33032316,57.35814625,24,spruce,V,Old0
2.194621593,3.836787006,24,spruce,V,Old0
29.10412541,35.09973306,24,spruce,V,Old0
96.42087556,98.24995427,24,spruce,V,Old0
75.98614363,66.27178995,24,spruce,V,Old0
83.04988363,61.72133684,24,spruce,V,Old0
101.111496,64.63881369,24,spruce,V,Old0
4.90488101,5.468265226,24,spruce,V,Old0
33.31127916,43.2018113,24,spruce,V,Old0
